energy_eV,dos,integrated_dos
-19.179,0.3040E+00,0.2541E-01
-19.159,0.3835E+00,0.3308E-01
-19.139,0.4785E+00,0.4265E-01
-19.119,0.5907E+00,0.5446E-01
-19.099,0.7213E+00,0.6889E-01
-19.079,0.8714E+00,0.8632E-01
-19.059,0.1041E+01,0.1071E+00
-19.039,0.1231E+01,0.1318E+00
-19.019,0.1440E+01,0.1606E+00
-18.999,0.1666E+01,0.1939E+00
-18.979,0.1906E+01,0.2320E+00
-18.959,0.2159E+01,0.2752E+00
-18.939,0.2418E+01,0.3235E+00
-18.919,0.2679E+01,0.3771E+00
-18.899,0.2936E+01,0.4358E+00
-18.879,0.3184E+01,0.4995E+00
-18.859,0.3415E+01,0.5678E+00
-18.839,0.3624E+01,0.6403E+00
-18.819,0.3804E+01,0.7164E+00
-18.799,0.3951E+01,0.7954E+00
-18.779,0.4059E+01,0.8766E+00
-18.759,0.4125E+01,0.9591E+00
-18.739,0.4147E+01,0.1042E+01
-18.719,0.4124E+01,0.1124E+01
-18.699,0.4058E+01,0.1206E+01
-18.679,0.3949E+01,0.1285E+01
-18.659,0.3802E+01,0.1361E+01
-18.639,0.3622E+01,0.1433E+01
-18.619,0.3412E+01,0.1501E+01
-18.599,0.3181E+01,0.1565E+01
-18.579,0.2933E+01,0.1624E+01
-18.559,0.2675E+01,0.1677E+01
-18.539,0.2414E+01,0.1725E+01
-18.519,0.2155E+01,0.1769E+01
-18.499,0.1903E+01,0.1807E+01
-18.479,0.1663E+01,0.1840E+01
-18.459,0.1437E+01,0.1869E+01
-18.439,0.1229E+01,0.1893E+01
-18.419,0.1039E+01,0.1914E+01
-18.399,0.8693E+00,0.1931E+01
-18.379,0.7195E+00,0.1946E+01
-18.359,0.5891E+00,0.1957E+01
-18.339,0.4772E+00,0.1967E+01
-18.319,0.3823E+00,0.1975E+01
-18.299,0.3031E+00,0.1981E+01
-18.279,0.2376E+00,0.1985E+01
-18.259,0.1843E+00,0.1989E+01
-18.239,0.1415E+00,0.1992E+01
-18.219,0.1074E+00,0.1994E+01
-18.199,0.8065E-01,0.1996E+01
-18.179,0.5992E-01,0.1997E+01
-18.159,0.4403E-01,0.1998E+01
-18.139,0.3201E-01,0.1998E+01
-18.119,0.2302E-01,0.1999E+01
-18.099,0.1638E-01,0.1999E+01
-18.079,0.1153E-01,0.2000E+01
-18.059,0.8028E-02,0.2000E+01
-18.039,0.5530E-02,0.2000E+01
-18.019,0.3768E-02,0.2000E+01
-17.999,0.2540E-02,0.2000E+01
-17.979,0.1694E-02,0.2000E+01
-17.959,0.1117E-02,0.2000E+01
-17.939,0.7291E-03,0.2000E+01
-17.919,0.4707E-03,0.2000E+01
-17.899,0.3006E-03,0.2000E+01
-17.879,0.1899E-03,0.2000E+01
-17.859,0.1187E-03,0.2000E+01
-17.839,0.7337E-04,0.2000E+01
-17.819,0.4488E-04,0.2000E+01
-17.799,0.2715E-04,0.2000E+01
-17.779,0.1625E-04,0.2000E+01
-17.759,0.9623E-05,0.2000E+01
-17.739,0.5636E-05,0.2000E+01
-17.719,0.3266E-05,0.2000E+01
-17.699,0.1872E-05,0.2000E+01
-17.679,0.1062E-05,0.2000E+01
-17.659,0.5955E-06,0.2000E+01
-17.639,0.3305E-06,0.2000E+01
-17.619,0.1814E-06,0.2000E+01
-17.599,0.9853E-07,0.2000E+01
-17.579,0.5294E-07,0.2000E+01
-17.559,0.2813E-07,0.2000E+01
-17.539,0.1479E-07,0.2000E+01
-17.519,0.7693E-08,0.2000E+01
-17.499,0.3958E-08,0.2000E+01
-17.479,0.2015E-08,0.2000E+01
-17.459,0.1014E-08,0.2000E+01
-17.439,0.5053E-09,0.2000E+01
-17.419,0.2490E-09,0.2000E+01
-17.399,0.1214E-09,0.2000E+01
-17.379,0.5853E-10,0.2000E+01
-17.359,0.2792E-10,0.2000E+01
-17.339,0.1318E-10,0.2000E+01
-17.319,0.6151E-11,0.2000E+01
-17.299,0.2841E-11,0.2000E+01
-17.279,0.1298E-11,0.2000E+01
-17.259,0.5866E-12,0.2000E+01
-17.239,0.2623E-12,0.2000E+01
-17.219,0.1160E-12,0.2000E+01
-17.199,0.5075E-13,0.2000E+01
-17.179,0.2197E-13,0.2000E+01
-17.159,0.9407E-14,0.2000E+01
-17.139,0.3985E-14,0.2000E+01
-17.119,0.1670E-14,0.2000E+01
-17.099,0.6921E-15,0.2000E+01
-17.079,0.2838E-15,0.2000E+01
-17.059,0.1151E-15,0.2000E+01
-17.039,0.4621E-16,0.2000E+01
-17.019,0.1834E-16,0.2000E+01
-16.999,0.7205E-17,0.2000E+01
-16.979,0.2799E-17,0.2000E+01
-16.959,0.1076E-17,0.2000E+01
-16.939,0.4090E-18,0.2000E+01
-16.919,0.1538E-18,0.2000E+01
-16.899,0.5724E-19,0.2000E+01
-16.879,0.2107E-19,0.2000E+01
-16.859,0.7672E-20,0.2000E+01
-16.839,0.2764E-20,0.2000E+01
-16.819,0.9848E-21,0.2000E+01
-16.799,0.3471E-21,0.2000E+01
-16.779,0.1211E-21,0.2000E+01
-16.759,0.4176E-22,0.2000E+01
-16.739,0.1425E-22,0.2000E+01
-16.719,0.4812E-23,0.2000E+01
-16.699,0.1607E-23,0.2000E+01
-16.679,0.5309E-24,0.2000E+01
-16.659,0.1735E-24,0.2000E+01
-16.639,0.5611E-25,0.2000E+01
-16.619,0.1795E-25,0.2000E+01
-16.599,0.5678E-26,0.2000E+01
-16.579,0.1777E-26,0.2000E+01
-16.559,0.5504E-27,0.2000E+01
-16.539,0.1686E-27,0.2000E+01
-16.519,0.5113E-28,0.2000E+01
-16.499,0.1546E-28,0.2000E+01
-16.479,0.5036E-29,0.2000E+01
