energy_eV,dos,integrated_dos
-21.230,0.4147E+01,0.1042E+01
-21.210,0.4124E+01,0.1125E+01
-21.190,0.4057E+01,0.1206E+01
-21.170,0.3948E+01,0.1285E+01
-21.150,0.3801E+01,0.1361E+01
-21.130,0.3620E+01,0.1434E+01
-21.110,0.3411E+01,0.1502E+01
-21.090,0.3179E+01,0.1565E+01
-21.070,0.2932E+01,0.1624E+01
-21.050,0.2674E+01,0.1677E+01
-21.030,0.2413E+01,0.1726E+01
-21.010,0.2154E+01,0.1769E+01
-20.990,0.1902E+01,0.1807E+01
-20.970,0.1661E+01,0.1840E+01
-20.950,0.1436E+01,0.1869E+01
-20.930,0.1227E+01,0.1893E+01
-20.910,0.1038E+01,0.1914E+01
-20.890,0.8684E+00,0.1931E+01
-20.870,0.7187E+00,0.1946E+01
-20.850,0.5884E+00,0.1958E+01
-20.830,0.4766E+00,0.1967E+01
-20.810,0.3818E+00,0.1975E+01
-20.790,0.3026E+00,0.1981E+01
-20.770,0.2373E+00,0.1986E+01
-20.750,0.1841E+00,0.1989E+01
-20.730,0.1412E+00,0.1992E+01
-20.710,0.1072E+00,0.1994E+01
-20.690,0.8051E-01,0.1996E+01
-20.670,0.5981E-01,0.1997E+01
-20.650,0.4395E-01,0.1998E+01
-20.630,0.3195E-01,0.1998E+01
-20.610,0.2298E-01,0.1999E+01
-20.590,0.1635E-01,0.1999E+01
-20.570,0.1151E-01,0.2000E+01
-20.550,0.8011E-02,0.2000E+01
-20.530,0.5518E-02,0.2000E+01
-20.510,0.3759E-02,0.2000E+01
-20.490,0.2534E-02,0.2000E+01
-20.470,0.1690E-02,0.2000E+01
-20.450,0.1114E-02,0.2000E+01
-20.430,0.7272E-03,0.2000E+01
-20.410,0.4694E-03,0.2000E+01
-20.390,0.2998E-03,0.2000E+01
-20.370,0.1894E-03,0.2000E+01
-20.350,0.1183E-03,0.2000E+01
-20.330,0.7317E-04,0.2000E+01
-20.310,0.4475E-04,0.2000E+01
-20.290,0.2707E-04,0.2000E+01
-20.270,0.1620E-04,0.2000E+01
-20.250,0.9593E-05,0.2000E+01
-20.230,0.5619E-05,0.2000E+01
-20.210,0.3256E-05,0.2000E+01
-20.190,0.1866E-05,0.2000E+01
-20.170,0.1058E-05,0.2000E+01
-20.150,0.5935E-06,0.2000E+01
-20.130,0.3293E-06,0.2000E+01
-20.110,0.1808E-06,0.2000E+01
-20.090,0.9818E-07,0.2000E+01
-20.070,0.5274E-07,0.2000E+01
-20.050,0.2803E-07,0.2000E+01
-20.030,0.1474E-07,0.2000E+01
-20.010,0.7664E-08,0.2000E+01
-19.990,0.3943E-08,0.2000E+01
-19.970,0.2007E-08,0.2000E+01
-19.950,0.1010E-08,0.2000E+01
-19.930,0.5032E-09,0.2000E+01
-19.910,0.2480E-09,0.2000E+01
-19.890,0.1209E-09,0.2000E+01
-19.870,0.5828E-10,0.2000E+01
-19.850,0.2780E-10,0.2000E+01
-19.830,0.1312E-10,0.2000E+01
-19.810,0.6124E-11,0.2000E+01
-19.790,0.2828E-11,0.2000E+01
-19.770,0.1292E-11,0.2000E+01
-19.750,0.5839E-12,0.2000E+01
-19.730,0.2610E-12,0.2000E+01
-19.710,0.1154E-12,0.2000E+01
-19.690,0.5051E-13,0.2000E+01
-19.670,0.2186E-13,0.2000E+01
-19.650,0.9360E-14,0.2000E+01
-19.630,0.3965E-14,0.2000E+01
-19.610,0.1661E-14,0.2000E+01
-19.590,0.6886E-15,0.2000E+01
-19.570,0.2824E-15,0.2000E+01
-19.550,0.1145E-15,0.2000E+01
-19.530,0.4596E-16,0.2000E+01
-19.510,0.1825E-16,0.2000E+01
-19.490,0.7165E-17,0.2000E+01
-19.470,0.2784E-17,0.2000E+01
-19.450,0.1070E-17,0.2000E+01
-19.430,0.4067E-18,0.2000E+01
-19.410,0.1530E-18,0.2000E+01
-19.390,0.5691E-19,0.2000E+01
-19.370,0.2095E-19,0.2000E+01
-19.350,0.7627E-20,0.2000E+01
-19.330,0.2747E-20,0.2000E+01
-19.310,0.9788E-21,0.2000E+01
-19.290,0.3450E-21,0.2000E+01
-19.270,0.1203E-21,0.2000E+01
-19.250,0.4150E-22,0.2000E+01
-19.230,0.1416E-22,0.2000E+01
-19.210,0.4781E-23,0.2000E+01
-19.190,0.1597E-23,0.2000E+01
-19.170,0.5275E-24,0.2000E+01
-19.150,0.1724E-24,0.2000E+01
-19.130,0.5574E-25,0.2000E+01
-19.110,0.1783E-25,0.2000E+01
-19.090,0.5640E-26,0.2000E+01
-19.070,0.1765E-26,0.2000E+01
-19.050,0.5466E-27,0.2000E+01
-19.030,0.1674E-27,0.2000E+01
-19.010,0.5073E-28,0.2000E+01
-18.990,0.1521E-28,0.2000E+01
-18.970,0.4509E-29,0.2000E+01
-18.950,0.1323E-29,0.2000E+01
-18.930,0.3839E-30,0.2000E+01
-18.910,0.1102E-30,0.2000E+01
-18.890,0.3130E-31,0.2000E+01
-18.870,0.8792E-32,0.2000E+01
-18.850,0.2444E-32,0.2000E+01
-18.830,0.6718E-33,0.2000E+01
-18.810,0.1827E-33,0.2000E+01
-18.790,0.4916E-34,0.2000E+01
-18.770,0.1309E-34,0.2000E+01
-18.750,0.3445E-35,0.2000E+01
-18.730,0.8975E-36,0.2000E+01
-18.710,0.2313E-36,0.2000E+01
-18.690,0.5895E-37,0.2000E+01
-18.670,0.1487E-37,0.2000E+01
-18.650,0.3708E-38,0.2000E+01
-18.630,0.9151E-39,0.2000E+01
-18.610,0.2234E-39,0.2000E+01
-18.590,0.5395E-40,0.2000E+01
-18.570,0.1289E-40,0.2000E+01
-18.550,0.3046E-41,0.2000E+01
-18.530,0.7122E-42,0.2000E+01
-18.510,0.1647E-42,0.2000E+01
-18.490,0.3769E-43,0.2000E+01
-18.470,0.8531E-44,0.2000E+01
-18.450,0.1910E-44,0.2000E+01
-18.430,0.4231E-45,0.2000E+01
-18.410,0.9272E-46,0.2000E+01
-18.390,0.2010E-46,0.2000E+01
-18.370,0.4310E-47,0.2000E+01
-18.350,0.9143E-48,0.2000E+01
-18.330,0.1919E-48,0.2000E+01
-18.310,0.3984E-49,0.2000E+01
-18.290,0.8181E-50,0.2000E+01
-18.270,0.1662E-50,0.2000E+01
-18.250,0.3340E-51,0.2000E+01
-18.230,0.6642E-52,0.2000E+01
-18.210,0.1306E-52,0.2000E+01
-18.190,0.2542E-53,0.2000E+01
-18.170,0.4892E-54,0.2000E+01
-18.150,0.9316E-55,0.2000E+01
-18.130,0.1755E-55,0.2000E+01
-18.110,0.3270E-56,0.2000E+01
-18.090,0.6028E-57,0.2000E+01
-18.070,0.1099E-57,0.2000E+01
