energy_eV,dos,integrated_dos
-21.753,0.1707E-02,0.9691E-04
-21.733,0.2560E-02,0.1481E-03
-21.713,0.3797E-02,0.2240E-03
-21.693,0.5571E-02,0.3355E-03
-21.673,0.8087E-02,0.4972E-03
-21.653,0.1161E-01,0.7294E-03
-21.633,0.1649E-01,0.1059E-02
-21.613,0.2318E-01,0.1523E-02
-21.593,0.3222E-01,0.2167E-02
-21.573,0.4431E-01,0.3053E-02
-21.553,0.6028E-01,0.4259E-02
-21.533,0.8112E-01,0.5881E-02
-21.513,0.1080E+00,0.8041E-02
-21.493,0.1422E+00,0.1089E-01
-21.473,0.1853E+00,0.1459E-01
-21.453,0.2388E+00,0.1937E-01
-21.433,0.3045E+00,0.2546E-01
-21.413,0.3841E+00,0.3314E-01
-21.393,0.4792E+00,0.4272E-01
-21.373,0.5915E+00,0.5455E-01
-21.353,0.7223E+00,0.6900E-01
-21.333,0.8725E+00,0.8645E-01
-21.313,0.1043E+01,0.1073E+00
-21.293,0.1232E+01,0.1320E+00
-21.273,0.1441E+01,0.1608E+00
-21.253,0.1667E+01,0.1941E+00
-21.233,0.1908E+01,0.2323E+00
-21.213,0.2160E+01,0.2755E+00
-21.193,0.2419E+01,0.3239E+00
-21.173,0.2681E+01,0.3775E+00
-21.153,0.2938E+01,0.4363E+00
-21.133,0.3186E+01,0.5000E+00
-21.113,0.3417E+01,0.5683E+00
-21.093,0.3625E+01,0.6408E+00
-21.073,0.3806E+01,0.7169E+00
-21.053,0.3952E+01,0.7960E+00
-21.033,0.4059E+01,0.8771E+00
-21.013,0.4125E+01,0.9596E+00
-20.993,0.4147E+01,0.1043E+01
-20.973,0.4124E+01,0.1125E+01
-20.953,0.4057E+01,0.1206E+01
-20.933,0.3948E+01,0.1285E+01
-20.913,0.3801E+01,0.1361E+01
-20.893,0.3620E+01,0.1434E+01
-20.873,0.3411E+01,0.1502E+01
-20.853,0.3179E+01,0.1565E+01
-20.833,0.2931E+01,0.1624E+01
-20.813,0.2674E+01,0.1677E+01
-20.793,0.2412E+01,0.1726E+01
-20.773,0.2153E+01,0.1769E+01
-20.753,0.1902E+01,0.1807E+01
-20.733,0.1661E+01,0.1840E+01
-20.713,0.1435E+01,0.1869E+01
-20.693,0.1227E+01,0.1893E+01
-20.673,0.1038E+01,0.1914E+01
-20.653,0.8682E+00,0.1931E+01
-20.633,0.7185E+00,0.1946E+01
-20.613,0.5883E+00,0.1958E+01
-20.593,0.4764E+00,0.1967E+01
-20.573,0.3817E+00,0.1975E+01
-20.553,0.3026E+00,0.1981E+01
-20.533,0.2372E+00,0.1986E+01
-20.513,0.1840E+00,0.1989E+01
-20.493,0.1412E+00,0.1992E+01
-20.473,0.1072E+00,0.1994E+01
-20.453,0.8048E-01,0.1996E+01
-20.433,0.5979E-01,0.1997E+01
-20.413,0.4394E-01,0.1998E+01
-20.393,0.3194E-01,0.1998E+01
-20.373,0.2297E-01,0.1999E+01
-20.353,0.1634E-01,0.1999E+01
-20.333,0.1150E-01,0.2000E+01
-20.313,0.8007E-02,0.2000E+01
-20.293,0.5515E-02,0.2000E+01
-20.273,0.3758E-02,0.2000E+01
-20.253,0.2533E-02,0.2000E+01
-20.233,0.1689E-02,0.2000E+01
-20.213,0.1114E-02,0.2000E+01
-20.193,0.7269E-03,0.2000E+01
-20.173,0.4692E-03,0.2000E+01
-20.153,0.2996E-03,0.2000E+01
-20.133,0.1893E-03,0.2000E+01
-20.113,0.1183E-03,0.2000E+01
-20.093,0.7312E-04,0.2000E+01
-20.073,0.4472E-04,0.2000E+01
-20.053,0.2706E-04,0.2000E+01
-20.033,0.1619E-04,0.2000E+01
-20.013,0.9587E-05,0.2000E+01
-19.993,0.5615E-05,0.2000E+01
-19.973,0.3253E-05,0.2000E+01
-19.953,0.1865E-05,0.2000E+01
-19.933,0.1057E-05,0.2000E+01
-19.913,0.5931E-06,0.2000E+01
-19.893,0.3291E-06,0.2000E+01
-19.873,0.1807E-06,0.2000E+01
-19.853,0.9811E-07,0.2000E+01
-19.833,0.5270E-07,0.2000E+01
-19.813,0.2801E-07,0.2000E+01
-19.793,0.1472E-07,0.2000E+01
-19.773,0.7658E-08,0.2000E+01
-19.753,0.3940E-08,0.2000E+01
-19.733,0.2005E-08,0.2000E+01
-19.713,0.1010E-08,0.2000E+01
-19.693,0.5039E-09,0.2000E+01
-19.673,0.2502E-09,0.2000E+01
-19.653,0.1261E-09,0.2000E+01
-19.633,0.6976E-10,0.2000E+01
-19.613,0.5249E-10,0.2000E+01
-19.593,0.6553E-10,0.2000E+01
-19.573,0.1161E-09,0.2000E+01
-19.553,0.2311E-09,0.2000E+01
-19.533,0.4700E-09,0.2000E+01
-19.513,0.9527E-09,0.2000E+01
-19.493,0.1914E-08,0.2000E+01
-19.473,0.3803E-08,0.2000E+01
-19.453,0.7479E-08,0.2000E+01
-19.433,0.1455E-07,0.2000E+01
-19.413,0.2800E-07,0.2000E+01
-19.393,0.5330E-07,0.2000E+01
-19.373,0.1004E-06,0.2000E+01
-19.353,0.1870E-06,0.2000E+01
-19.333,0.3447E-06,0.2000E+01
-19.313,0.6285E-06,0.2000E+01
-19.293,0.1134E-05,0.2000E+01
-19.273,0.2023E-05,0.2000E+01
-19.253,0.3570E-05,0.2000E+01
-19.233,0.6234E-05,0.2000E+01
-19.213,0.1077E-04,0.2000E+01
-19.193,0.1840E-04,0.2000E+01
-19.173,0.3110E-04,0.2000E+01
-19.153,0.5201E-04,0.2000E+01
-19.133,0.8604E-04,0.2000E+01
-19.113,0.1408E-03,0.2000E+01
-19.093,0.2280E-03,0.2000E+01
-19.073,0.3651E-03,0.2000E+01
-19.053,0.5784E-03,0.2000E+01
-19.033,0.9066E-03,0.2000E+01
-19.013,0.1406E-02,0.2000E+01
-18.993,0.2156E-02,0.2000E+01
-18.973,0.3271E-02,0.2000E+01
-18.953,0.4910E-02,0.2000E+01
-18.933,0.7291E-02,0.2000E+01
-18.913,0.1071E-01,0.2001E+01
-18.893,0.1556E-01,0.2001E+01
-18.873,0.2237E-01,0.2001E+01
-18.853,0.3182E-01,0.2002E+01
-18.833,0.4476E-01,0.2003E+01
-18.813,0.6229E-01,0.2004E+01
-18.793,0.8575E-01,0.2006E+01
-18.773,0.1168E+00,0.2008E+01
-18.753,0.1574E+00,0.2011E+01
-18.733,0.2097E+00,0.2016E+01
-18.713,0.2765E+00,0.2021E+01
-18.693,0.3607E+00,0.2028E+01
-18.673,0.4654E+00,0.2038E+01
-18.653,0.5940E+00,0.2050E+01
-18.633,0.7501E+00,0.2065E+01
-18.613,0.9370E+00,0.2083E+01
-18.593,0.1158E+01,0.2106E+01
-18.573,0.1415E+01,0.2135E+01
-18.553,0.1712E+01,0.2169E+01
-18.533,0.2048E+01,0.2210E+01
-18.513,0.2423E+01,0.2258E+01
-18.493,0.2837E+01,0.2315E+01
-18.473,0.3286E+01,0.2381E+01
-18.453,0.3765E+01,0.2456E+01
-18.433,0.4267E+01,0.2541E+01
-18.413,0.4784E+01,0.2637E+01
-18.393,0.5307E+01,0.2743E+01
-18.373,0.5823E+01,0.2860E+01
-18.353,0.6321E+01,0.2986E+01
-18.333,0.6787E+01,0.3122E+01
-18.313,0.7210E+01,0.3266E+01
-18.293,0.7576E+01,0.3418E+01
-18.273,0.7876E+01,0.3575E+01
-18.253,0.8100E+01,0.3737E+01
-18.233,0.8240E+01,0.3902E+01
-18.213,0.8293E+01,0.4068E+01
-18.193,0.8257E+01,0.4233E+01
-18.173,0.8132E+01,0.4396E+01
-18.153,0.7923E+01,0.4554E+01
-18.133,0.7636E+01,0.4707E+01
-18.113,0.7281E+01,0.4852E+01
-18.093,0.6868E+01,0.4990E+01
-18.073,0.6408E+01,0.5118E+01
-18.053,0.5915E+01,0.5236E+01
-18.033,0.5402E+01,0.5344E+01
-18.013,0.4880E+01,0.5442E+01
-17.993,0.4361E+01,0.5529E+01
-17.973,0.3855E+01,0.5606E+01
-17.953,0.3371E+01,0.5674E+01
-17.933,0.2917E+01,0.5732E+01
-17.913,0.2496E+01,0.5782E+01
-17.893,0.2113E+01,0.5824E+01
-17.873,0.1770E+01,0.5860E+01
-17.853,0.1467E+01,0.5889E+01
-17.833,0.1202E+01,0.5913E+01
-17.813,0.9746E+00,0.5932E+01
-17.793,0.7818E+00,0.5948E+01
-17.773,0.6203E+00,0.5960E+01
-17.753,0.4869E+00,0.5970E+01
-17.733,0.3781E+00,0.5978E+01
-17.713,0.2905E+00,0.5984E+01
-17.693,0.2207E+00,0.5988E+01
-17.673,0.1660E+00,0.5991E+01
-17.653,0.1234E+00,0.5994E+01
-17.633,0.9080E-01,0.5996E+01
-17.613,0.6608E-01,0.5997E+01
-17.593,0.4758E-01,0.5998E+01
-17.573,0.3389E-01,0.5998E+01
-17.553,0.2388E-01,0.5999E+01
-17.533,0.1664E-01,0.5999E+01
-17.513,0.1147E-01,0.6000E+01
-17.493,0.7827E-02,0.6000E+01
-17.473,0.5282E-02,0.6000E+01
-17.453,0.3526E-02,0.6000E+01
-17.433,0.2328E-02,0.6000E+01
-17.413,0.1521E-02,0.6000E+01
-17.393,0.9829E-03,0.6000E+01
-17.373,0.6284E-03,0.6000E+01
-17.353,0.3974E-03,0.6000E+01
-17.333,0.2486E-03,0.6000E+01
-17.313,0.1539E-03,0.6000E+01
-17.293,0.9421E-04,0.6000E+01
-17.273,0.5706E-04,0.6000E+01
-17.253,0.3419E-04,0.6000E+01
-17.233,0.2027E-04,0.6000E+01
-17.213,0.1188E-04,0.6000E+01
-17.193,0.6893E-05,0.6000E+01
-17.173,0.3955E-05,0.6000E+01
-17.153,0.2245E-05,0.6000E+01
-17.133,0.1261E-05,0.6000E+01
-17.113,0.7004E-06,0.6000E+01
-17.093,0.3849E-06,0.6000E+01
-17.073,0.2093E-06,0.6000E+01
-17.053,0.1125E-06,0.6000E+01
-17.033,0.5988E-07,0.6000E+01
-17.013,0.3151E-07,0.6000E+01
-16.993,0.1641E-07,0.6000E+01
-16.973,0.8451E-08,0.6000E+01
-16.953,0.4306E-08,0.6000E+01
-16.933,0.2171E-08,0.6000E+01
-16.913,0.1082E-08,0.6000E+01
-16.893,0.5339E-09,0.6000E+01
-16.873,0.2605E-09,0.6000E+01
-16.853,0.1258E-09,0.6000E+01
-16.833,0.6006E-10,0.6000E+01
-16.813,0.2837E-10,0.6000E+01
-16.793,0.1326E-10,0.6000E+01
-16.773,0.6130E-11,0.6000E+01
