energy_eV,dos,integrated_dos
-23.646,0.3292E-62,0.2000E+01
-23.626,0.5567E-63,0.2000E+01
-23.606,0.9313E-64,0.2000E+01
-23.586,0.1541E-64,0.2000E+01
-23.566,0.2523E-65,0.2000E+01
-23.546,0.4086E-66,0.2000E+01
-23.526,0.6545E-67,0.2000E+01
-23.506,0.1037E-67,0.2000E+01
-23.486,0.1626E-68,0.2000E+01
-23.466,0.2522E-69,0.2000E+01
-23.446,0.3870E-70,0.2000E+01
-23.426,0.5874E-71,0.2000E+01
-23.406,0.8820E-72,0.2000E+01
-23.386,0.1310E-72,0.2000E+01
-23.366,0.1925E-73,0.2000E+01
-23.346,0.2798E-74,0.2000E+01
-23.326,0.4024E-75,0.2000E+01
-23.306,0.5724E-76,0.2000E+01
-23.286,0.8055E-77,0.2000E+01
-23.266,0.1121E-77,0.2000E+01
-23.246,0.1544E-78,0.2000E+01
-23.226,0.2104E-79,0.2000E+01
-23.206,0.2836E-80,0.2000E+01
-23.186,0.3781E-81,0.2000E+01
-23.166,0.4993E-82,0.2000E+01
-23.146,0.6569E-83,0.2000E+01
-23.126,0.9029E-84,0.2000E+01
-23.106,0.1704E-84,0.2000E+01
-23.086,0.7667E-85,0.2000E+01
-23.066,0.6886E-85,0.2000E+01
-23.046,0.6886E-85,0.2000E+01
-23.026,0.6886E-85,0.2000E+01
-23.006,0.6886E-85,0.2000E+01
-22.986,0.6886E-85,0.2000E+01
-22.966,0.6886E-85,0.2000E+01
-22.946,0.6886E-85,0.2000E+01
-22.926,0.6886E-85,0.2000E+01
-22.906,0.6886E-85,0.2000E+01
-22.886,0.6886E-85,0.2000E+01
-22.866,0.6886E-85,0.2000E+01
-22.846,0.6886E-85,0.2000E+01
-22.826,0.6886E-85,0.2000E+01
-22.806,0.6886E-85,0.2000E+01
-22.786,0.6886E-85,0.2000E+01
-22.766,0.6886E-85,0.2000E+01
-22.746,0.6886E-85,0.2000E+01
-22.726,0.6886E-85,0.2000E+01
-22.706,0.6886E-85,0.2000E+01
-22.686,0.6886E-85,0.2000E+01
-22.666,0.6886E-85,0.2000E+01
-22.646,0.6886E-85,0.2000E+01
-22.626,0.6886E-85,0.2000E+01
-22.606,0.6886E-85,0.2000E+01
-22.586,0.6886E-85,0.2000E+01
-22.566,0.6886E-85,0.2000E+01
-22.546,0.6886E-85,0.2000E+01
-22.526,0.6886E-85,0.2000E+01
-22.506,0.6886E-85,0.2000E+01
-22.486,0.6886E-85,0.2000E+01
-22.466,0.6886E-85,0.2000E+01
-22.446,0.6886E-85,0.2000E+01
-22.426,0.6886E-85,0.2000E+01
-22.406,0.6886E-85,0.2000E+01
-22.386,0.6886E-85,0.2000E+01
-22.366,0.6886E-85,0.2000E+01
-22.346,0.6886E-85,0.2000E+01
-22.326,0.6886E-85,0.2000E+01
-22.306,0.6886E-85,0.2000E+01
-22.286,0.6886E-85,0.2000E+01
-22.266,0.6886E-85,0.2000E+01
-22.246,0.6886E-85,0.2000E+01
-22.226,0.6886E-85,0.2000E+01
-22.206,0.6886E-85,0.2000E+01
-22.186,0.6886E-85,0.2000E+01
-22.166,0.6886E-85,0.2000E+01
-22.146,0.6886E-85,0.2000E+01
-22.126,0.6886E-85,0.2000E+01
-22.106,0.6886E-85,0.2000E+01
-22.086,0.6886E-85,0.2000E+01
-22.066,0.6886E-85,0.2000E+01
-22.046,0.6886E-85,0.2000E+01
-22.026,0.6886E-85,0.2000E+01
-22.006,0.6886E-85,0.2000E+01
-21.986,0.6886E-85,0.2000E+01
-21.966,0.6886E-85,0.2000E+01
-21.946,0.6886E-85,0.2000E+01
-21.926,0.6886E-85,0.2000E+01
-21.906,0.6886E-85,0.2000E+01
-21.886,0.6886E-85,0.2000E+01
-21.866,0.6886E-85,0.2000E+01
-21.846,0.6886E-85,0.2000E+01
-21.826,0.6886E-85,0.2000E+01
-21.806,0.6886E-85,0.2000E+01
-21.786,0.6886E-85,0.2000E+01
-21.766,0.6886E-85,0.2000E+01
-21.746,0.6886E-85,0.2000E+01
-21.726,0.6886E-85,0.2000E+01
-21.706,0.6886E-85,0.2000E+01
-21.686,0.6886E-85,0.2000E+01
-21.666,0.6886E-85,0.2000E+01
-21.646,0.6886E-85,0.2000E+01
-21.626,0.6886E-85,0.2000E+01
-21.606,0.6886E-85,0.2000E+01
-21.586,0.6886E-85,0.2000E+01
-21.566,0.6886E-85,0.2000E+01
-21.546,0.6886E-85,0.2000E+01
-21.526,0.6886E-85,0.2000E+01
-21.506,0.6886E-85,0.2000E+01
-21.486,0.6886E-85,0.2000E+01
-21.466,0.6886E-85,0.2000E+01
-21.446,0.6886E-85,0.2000E+01
-21.426,0.6886E-85,0.2000E+01
-21.406,0.6886E-85,0.2000E+01
-21.386,0.6886E-85,0.2000E+01
-21.366,0.6886E-85,0.2000E+01
-21.346,0.6886E-85,0.2000E+01
-21.326,0.6886E-85,0.2000E+01
-21.306,0.6886E-85,0.2000E+01
-21.286,0.6886E-85,0.2000E+01
-21.266,0.6886E-85,0.2000E+01
-21.246,0.6886E-85,0.2000E+01
-21.226,0.6886E-85,0.2000E+01
-21.206,0.6886E-85,0.2000E+01
-21.186,0.6886E-85,0.2000E+01
-21.166,0.6886E-85,0.2000E+01
-21.146,0.6886E-85,0.2000E+01
-21.126,0.6886E-85,0.2000E+01
-21.106,0.6886E-85,0.2000E+01
-21.086,0.6886E-85,0.2000E+01
-21.066,0.6886E-85,0.2000E+01
-21.046,0.6886E-85,0.2000E+01
-21.026,0.6886E-85,0.2000E+01
-21.006,0.6886E-85,0.2000E+01
-20.986,0.6886E-85,0.2000E+01
-20.966,0.6886E-85,0.2000E+01
-20.946,0.6886E-85,0.2000E+01
-20.926,0.6886E-85,0.2000E+01
-20.906,0.6886E-85,0.2000E+01
-20.886,0.6886E-85,0.2000E+01
-20.866,0.6886E-85,0.2000E+01
-20.846,0.6886E-85,0.2000E+01
-20.826,0.6886E-85,0.2000E+01
-20.806,0.6886E-85,0.2000E+01
-20.786,0.6886E-85,0.2000E+01
-20.766,0.6886E-85,0.2000E+01
-20.746,0.6886E-85,0.2000E+01
-20.726,0.6886E-85,0.2000E+01
-20.706,0.6886E-85,0.2000E+01
-20.686,0.6886E-85,0.2000E+01
-20.666,0.6886E-85,0.2000E+01
-20.646,0.6886E-85,0.2000E+01
-20.626,0.6886E-85,0.2000E+01
-20.606,0.6886E-85,0.2000E+01
-20.586,0.6886E-85,0.2000E+01
-20.566,0.6886E-85,0.2000E+01
-20.546,0.6886E-85,0.2000E+01
-20.526,0.6886E-85,0.2000E+01
-20.506,0.6886E-85,0.2000E+01
-20.486,0.6886E-85,0.2000E+01
-20.466,0.6886E-85,0.2000E+01
-20.446,0.6886E-85,0.2000E+01
-20.426,0.6886E-85,0.2000E+01
-20.406,0.6886E-85,0.2000E+01
-20.386,0.6886E-85,0.2000E+01
-20.366,0.6886E-85,0.2000E+01
-20.346,0.6886E-85,0.2000E+01
-20.326,0.6886E-85,0.2000E+01
-20.306,0.6886E-85,0.2000E+01
-20.286,0.6886E-85,0.2000E+01
-20.266,0.6886E-85,0.2000E+01
-20.246,0.6886E-85,0.2000E+01
